Subject ID	 HC59	 HC60	 HC68	 HC98	 HC74	 HC88	 HC91	 HC94	 HC75	 HC76	Case 1 	Case 1 	Case 1 	Case 1 	Case 1 	Case 1 	Case 2 	Case 2 	Case 2 	Case 2 	Case 2 	Case 1 	Case 1 	Case 1 	Case 2 	Case 2 	Case 2 	Case 2 	Case 3 	Case 3 	Case 3 	Case 3 
Time	0	0	0	0	0	0	0	0	0	0	4	5	6	7	8	9	6	7	8	9	10	11	12	18	11	12	13	19	9	10	11	12
Disease	 HC 	 HC 	 HC 	 HC 	 HC 	 HC 	 HC 	 HC 	 HC 	 HC 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 	 nCOV 
ABCB1	7.43	7.71	7.01	7.44	7.48	7.25	7.52	6.84	7	7.27	7.87	7.69	7.4	7.38	7	7.66	7.36	7.02	7.16	7.47	7.86	7.18	7.61	7.82	7.39	7.28	7.53	7.68	7.42	7.44	7.31	7.35
ABL1	6.33	6.28	6.02	6.47	6.53	6.58	6.21	6.51	6.22	6.41	7.13	7.25	6.68	6.89	6.57	6.9	7.09	6.91	6.83	6.96	7.08	6.58	6.88	6.42	6.69	6.64	6.99	6.46	6.84	6.94	6.78	6.62
ADA	6.87	7.34	7.09	7.31	7.14	7.13	7.06	7.59	7.07	6.41	7.035	7.26	7.07	7.05	6.99	7.35	7.2	7.36	7.46	7.31	7.14	7.04	7.33	7.15	6.97	6.95	7.03	6.86	7.83	7.57	7.55	7.64
AHR	9.31	8.78	8.69	8.74	9.6	10.12	8.84	9.41	9.34	9.4	9.195	9.47	9.26	9.47	9.29	9.29	9.45	9.27	9.32	9.17	9.46	9.11	8.92	9.04	9.02	9.42	9.21	8.95	8.75	8.64	8.93	8.9
AICDA	3.97	4.6	3.95	3.73	3.89	3.93	4.17	3.77	3.82	4.88	3.125	3.15	2.79	3.23	3.09	3.14	3.19	3.06	3.01	2.8	3.04	3.34	3.37	3.56	3.41	2.75	3.36	3.4	3.04	3.45	2.96	2.45
AIRE	4.23	4.44	3.81	3.73	4.33	3.88	4.17	3.95	4.71	3.86	3.125	3.15	2.79	3.23	3.09	3.14	3.19	3.06	4.1	3.71	3.54	3.34	3.37	3.68	3.41	3.11	3.57	3.57	3.04	3.45	2.97	3.64
APP	9.34	9.23	9.02	9.06	9.45	9.34	9.56	9.39	9.41	9.08	9.755	9.42	9.63	9.73	9.91	9.52	8.81	8.73	8.52	8.62	8.57	9.98	9.83	9.1	9.87	9.02	9.06	8.78	8.78	8.76	9.07	9.31
ARG1	6.93	6.74	5.72	6.77	6.24	7.92	7.65	6.96	6.68	4.83	7.72	7.91	8.81	7.66	7.69	7.39	6.27	4.58	4.33	4.81	4.25	7.75	7.39	6.69	7.58	5.4	4.61	4.57	3.92	4.03	4.75	4.75
